6
 num     #instances         #bytes  class name
 205:            18           1152  sun.nio.fs.WindowsFileAttributes
 206:             2           1136  io.netty.util.internal.shaded.org.jctools.queues.atomic.MpscUnboundedAtomicArrayQueue
 207:            47           1128  java.util.zip.ZStreamRef
 208:            28           1120  com.intellij.util.xmlb.CollectionBinding
 209:            46           1104  java.io.FilePermissionCollection
 210:            46           1104  sun.reflect.annotation.AnnotationParser$1
 211:            34           1088  java.lang.invoke.SimpleMethodHandle
 212:            45           1080  java.util.jar.Manifest
 213:             2           1064  [Ljava.lang.Integer;
 214:             1           1040  [Ljava.lang.Byte;
 215:             1           1040  [Ljava.lang.Long;
 216:             1           1040  [Ljava.lang.Short;
 217:             1           1040  [[C
 218:            32           1024  java.io.FileInputStream
 219:            31            992  com.intellij.util.xmlb.TagBinding
 220:            62            992  sun.reflect.ConstantPool
 221:            20            960  com.sun.org.apache.xerces.internal.util.XMLAttributesImpl$Attribute
 222:            40            960  com.sun.org.apache.xerces.internal.xni.XMLString
 223:            30            960  java.security.Provider$EngineDescription
 224:            40            960  java.util.Collections$1
 225:            24            960  sun.misc.ProxyGenerator$ProxyMethod
 226:            39            936  java.io.ByteArrayOutputStream
 227:            38            912  org.jdom.Text
 228:            19            912  sun.nio.fs.WindowsDirectoryStream
 229:            28            896  [Lcom.sun.org.apache.xerces.internal.utils.XMLSecurityManager$NameMap;
 230:            28            896  io.netty.channel.ChannelOption
 231:            37            888  java.util.Collections$SingletonList
 232:             7            880  [Ljava.beans.MethodDescriptor;
 233:            22            880  java.nio.file.NoSuchFileException
 234:             9            864  com.intellij.util.io.IntToIntBtree
 235:             9            864  com.intellij.util.io.PersistentBTreeEnumerator
 236:             6            864  io.netty.buffer.PoolArena$DirectArena
 237:             6            864  io.netty.buffer.PoolArena$HeapArena
 238:            54            864  java.lang.ProcessEnvironment$CheckedEntry
 239:            12            864  java.util.regex.Pattern
 240:            27            864  jdk.internal.org.objectweb.asm.Type
 241:            18            864  sun.nio.cs.StreamDecoder
 242:            53            848  [Ljava.security.Principal;
 243:            53            848  java.security.ProtectionDomain$Key
 244:            21            840  sun.util.locale.BaseLocale$Key
 245:            31            832  [Ljava.nio.file.OpenOption;
 246:            13            832  jdk.internal.org.objectweb.asm.FieldWriter
 247:             8            768  [Lcom.sun.org.apache.xerces.internal.xni.QName;
 248:             8            768  com.intellij.util.io.PersistentHashMap
 249:            24            768  com.sun.org.apache.xerces.internal.util.AugmentationsImpl$SmallContainer
 250:            32            768  io.netty.util.internal.logging.Log4JLogger
 251:            24            768  sun.misc.ProxyGenerator$FieldInfo
 252:            24            768  sun.reflect.UnsafeObjectFieldAccessorImpl
 253:            19            760  gnu.trove.THashSet
 254:            19            760  org.jdom.ContentList$FilterList
 255:            19            760  sun.misc.Cleaner
 256:            47            752  java.util.Optional
 257:            46            736  java.util.jar.Attributes
 258:             5            720  [Lcom.intellij.util.containers.ConcurrentIntObjectHashMap$Node;
 259:            30            720  com.intellij.openapi.util.Key
